score,physics,p-ranking,history,h-ranking
691,7,31,0,0
690,6,37,0,0
689,7,44,0,0
688,4,48,0,0
687,6,54,0,0
686,6,60,0,0
685,4,64,0,0
684,4,68,0,0
683,15,83,0,0
682,12,95,0,0
681,20,115,0,0
680,9,124,0,0
679,13,137,0,0
678,16,153,0,0
677,10,163,0,0
676,23,186,0,0
675,19,205,0,0
674,23,228,0,0
673,28,256,0,0
672,30,286,0,0
671,21,307,0,0
670,29,336,0,0
669,19,355,0,0
668,44,399,0,0
667,32,431,0,0
666,37,468,0,0
665,44,512,0,0
664,41,553,0,0
663,63,616,0,0
662,46,662,0,0
661,58,720,0,0
660,61,781,6,30
659,67,848,3,33
658,61,909,6,39
657,71,980,9,48
656,66,1046,7,55
655,68,1114,6,61
654,65,1179,8,69
653,78,1257,7,76
652,94,1351,5,81
651,93,1444,2,83
650,92,1536,10,93
649,91,1627,12,105
648,103,1730,11,116
647,111,1841,15,131
646,111,1952,6,137
645,113,2065,13,150
644,111,2176,14,164
643,120,2296,16,180
642,144,2440,18,198
641,144,2584,17,215
640,145,2729,18,233
639,147,2876,31,264
638,149,3025,23,287
637,171,3196,24,311
636,162,3358,17,328
635,169,3527,34,362
634,179,3706,20,382
633,192,3898,28,410
632,184,4082,26,436
631,203,4285,29,465
630,180,4465,32,497
629,195,4660,42,539
628,200,4860,39,578
627,232,5092,32,610
626,210,5302,44,654
625,222,5524,44,698
624,237,5761,44,742
623,242,6003,51,793
622,284,6287,49,842
621,274,6561,43,885
620,253,6814,40,925
619,284,7098,54,979
618,278,7376,55,1034
617,262,7638,68,1102
616,269,7907,59,1161
615,255,8162,47,1208
614,300,8462,65,1273
613,295,8757,74,1347
612,313,9070,67,1414
611,315,9385,66,1480
610,326,9711,69,1549
609,337,10048,91,1640
608,350,10398,91,1731
607,362,10760,82,1813
606,370,11130,101,1914
605,347,11477,96,2010
604,381,11858,87,2097
603,390,12248,115,2212
602,383,12631,101,2313
601,418,13049,97,2410
600,381,13430,111,2521
599,428,13858,133,2654
598,414,14272,115,2769
597,431,14703,138,2907
596,429,15132,128,3035
595,464,15596,107,3142
594,450,16046,111,3253
593,469,16515,141,3394
592,483,16998,126,3520
591,510,17508,136,3656
590,460,17968,147,3803
589,539,18507,153,3956
588,499,19006,149,4105
587,499,19505,131,4236
586,542,20047,146,4382
585,547,20594,151,4533
584,545,21139,173,4706
583,579,21718,192,4898
582,543,22261,163,5061
581,532,22793,185,5246
580,565,23358,161,5407
579,569,23927,189,5596
578,581,24508,184,5780
577,610,25118,210,5990
576,611,25729,196,6186
575,625,26354,185,6371
574,618,26972,199,6570
573,580,27552,244,6814
572,623,28175,225,7039
571,643,28818,208,7247
570,585,29403,237,7484
569,618,30021,256,7740
568,693,30714,243,7983
567,642,31356,228,8211
566,661,32017,248,8459
565,687,32704,264,8723
564,657,33361,241,8964
563,663,34024,247,9211
562,727,34751,250,9461
561,698,35449,243,9704
560,719,36168,300,10004
559,705,36873,304,10308
558,693,37566,286,10594
557,706,38272,269,10863
556,736,39008,296,11159
555,710,39718,309,11468
554,754,40472,283,11751
553,782,41254,319,12070
552,750,42004,315,12385
551,755,42759,383,12768
550,740,43499,360,13128
549,762,44261,342,13470
548,729,44990,309,13779
547,782,45772,348,14127
546,785,46557,356,14483
545,819,47376,326,14809
544,825,48201,378,15187
543,836,49037,406,15593
542,817,49854,386,15979
541,828,50682,387,16366
540,841,51523,386,16752
539,815,52338,397,17149
538,831,53169,406,17555
537,798,53967,397,17952
536,824,54791,410,18362
535,828,55619,427,18789
534,859,56478,431,19220
533,839,57317,426,19646
532,854,58171,410,20056
531,824,58995,452,20508
530,836,59831,446,20954
529,925,60756,496,21450
528,894,61650,443,21893
527,857,62507,489,22382
526,839,63346,501,22883
525,882,64228,466,23349
524,874,65102,494,23843
523,869,65971,498,24341
522,909,66880,500,24841
521,876,67756,472,25313
520,844,68600,498,25811
519,881,69481,517,26328
518,869,70350,509,26837
517,902,71252,571,27408
516,859,72111,553,27961
515,907,73018,535,28496
514,914,73932,546,29042
513,912,74844,496,29538
512,977,75821,563,30101
511,958,76779,578,30679
510,934,77713,582,31261
509,960,78673,504,31765
508,947,79620,571,32336
507,930,80550,627,32963
506,950,81500,568,33531
505,947,82447,550,34081
504,950,83397,576,34657
503,954,84351,584,35241
502,943,85294,572,35813
501,959,86253,567,36380
500,898,87151,583,36963
499,981,88132,571,37534
498,940,89072,629,38163
497,972,90044,621,38784
496,938,90982,608,39392
495,1007,91989,584,39976
494,947,92936,621,40597
493,1033,93969,603,41200
492,927,94896,631,41831
491,901,95797,624,42455
490,973,96770,632,43087
489,958,97728,654,43741
488,910,98638,642,44383
487,961,99599,624,45007
486,982,100581,628,45635
485,950,101531,667,46302
484,976,102507,626,46928
483,999,103506,652,47580
482,977,104483,611,48191
481,950,105433,694,48885
480,911,106344,704,49589
479,936,107280,671,50260
478,933,108213,678,50938
477,918,109131,664,51602
476,991,110122,728,52330
475,1006,111128,689,53019
474,939,112067,642,53661
473,940,113007,660,54321
472,940,113947,658,54979
471,900,114847,699,55678
470,947,115794,665,56343
469,945,116739,681,57024
468,903,117642,728,57752
467,946,118588,655,58407
466,897,119485,715,59122
465,885,120370,702,59824
464,916,121286,706,60530
463,915,122201,739,61269
462,940,123141,723,61992
461,918,124059,761,62753
460,852,124911,640,63393
459,859,125770,706,64099
458,884,126654,702,64801
457,864,127518,688,65489
456,936,128454,711,66200
455,856,129310,692,66892
454,879,130189,694,67586
453,906,131095,739,68325
452,844,131939,744,69069
451,892,132831,760,69829
450,853,133684,711,70540
449,831,134515,723,71263
448,888,135403,724,71987
447,911,136314,674,72661
446,814,137128,733,73394
445,864,137992,708,74102
444,837,138829,754,74856
443,873,139702,726,75582
442,879,140581,768,76350
441,861,141442,701,77051
440,809,142251,755,77806
439,806,143057,792,78598
438,873,143930,728,79326
437,799,144729,751,80077
436,786,145515,721,80798
435,824,146339,735,81533
434,823,147162,722,82255
433,825,147987,733,82988
432,809,148796,742,83730
431,819,149615,759,84489
430,818,150433,755,85244
429,766,151199,778,86022
428,822,152021,733,86755
427,731,152752,742,87497
426,743,153495,698,88195
425,720,154215,748,88943
424,747,154962,690,89633
423,680,155642,733,90366
422,756,156398,756,91122
421,739,157137,742,91864
420,755,157892,725,92589
419,702,158594,695,93284
418,717,159311,663,93947
417,740,160051,746,94693
416,689,160740,728,95421
415,711,161451,795,96216
414,693,162144,705,96921
413,744,162888,745,97666
412,698,163586,745,98411
411,667,164253,753,99164
410,648,164901,746,99910
409,657,165558,759,100669
408,657,166215,770,101439
407,661,166876,717,102156
406,635,167511,733,102889
405,674,168185,745,103634
404,652,168837,698,104332
403,667,169504,756,105088
402,637,170141,796,105884
401,675,170816,698,106582
400,643,171459,727,107309
399,632,172091,711,108020
398,641,172732,749,108769
397,617,173349,753,109522
396,576,173925,740,110262
395,606,174531,708,110970
394,615,175146,761,111731
393,592,175738,748,112479
392,582,176320,771,113250
391,564,176884,789,114039
390,543,177427,743,114782
389,557,177984,752,115534
388,558,178542,711,116245
387,577,179119,749,116994
386,564,179683,781,117775
385,548,180231,719,118494
384,543,180774,741,119235
383,569,181343,734,119969
382,526,181869,770,120739
381,569,182438,762,121501
380,516,182954,763,122264
379,507,183461,712,122976
378,505,183966,765,123741
377,485,184451,699,124440
376,513,184964,713,125153
375,481,185445,716,125869
374,468,185913,688,126557
373,462,186375,728,127285
372,481,186856,773,128058
371,475,187331,727,128785
370,431,187762,688,129473
369,420,188182,768,130241
368,473,188655,777,131018
367,447,189102,745,131763
366,421,189523,759,132522
365,414,189937,737,133259
364,415,190352,720,133979
363,384,190736,727,134706
362,406,191142,749,135455
361,396,191538,711,136166
360,397,191935,704,136870
359,419,192354,730,137600
358,432,192786,739,138339
357,380,193166,691,139030
356,356,193522,694,139724
355,355,193877,749,140473
354,388,194265,699,141172
353,371,194636,676,141848
352,376,195012,745,142593
351,363,195375,675,143268
350,360,195735,737,144005
349,317,196052,709,144714
348,337,196389,683,145397
347,344,196733,701,146098
346,315,197048,740,146838
345,338,197386,716,147554
344,317,197703,709,148263
343,346,198049,657,148920
342,352,198401,679,149599
341,320,198721,702,150301
340,310,199031,720,151021
339,303,199334,673,151694
338,304,199638,669,152363
337,315,199953,707,153070
336,281,200234,692,153762
335,268,200502,709,154471
334,282,200784,732,155203
333,265,201049,649,155852
332,281,201330,669,156521
331,253,201583,675,157196
330,240,201823,661,157857
329,265,202088,679,158536
328,243,202331,672,159208
327,244,202575,698,159906
326,242,202817,689,160595
325,267,203084,627,161222
324,237,203321,630,161852
323,230,203551,603,162455
322,252,203803,612,163067
321,242,204045,645,163712
320,237,204282,665,164377
319,233,204515,605,164982
318,219,204734,625,165607
317,212,204946,637,166244
316,219,205165,610,166854
315,207,205372,609,167463
314,247,205619,608,168071
313,222,205841,581,168652
312,186,206027,587,169239
311,213,206240,577,169816
310,191,206431,588,170404
309,180,206611,540,170944
308,165,206776,567,171511
307,184,206960,556,172067
306,169,207129,557,172624
305,165,207294,506,173130
304,164,207458,544,173674
303,187,207645,511,174185
302,182,207827,481,174666
301,148,207975,511,175177
300,163,208138,530,175707
299,176,208314,518,176225
298,169,208483,482,176707
297,164,208647,503,177210
296,182,208829,501,177711
295,151,208980,492,178203
294,166,209146,479,178682
293,164,209310,484,179166
292,135,209445,478,179644
291,140,209585,486,180130
290,135,209720,448,180578
289,136,209856,469,181047
288,130,209986,436,181483
287,125,210111,468,181951
286,136,210247,426,182377
285,133,210380,407,182784
284,127,210507,405,183189
283,125,210632,413,183602
282,115,210747,383,183985
281,133,210880,372,184357
280,115,210995,398,184755
279,118,211113,397,185152
278,109,211222,379,185531
277,104,211326,324,185855
276,88,211414,336,186191
275,104,211518,365,186556
274,114,211632,323,186879
273,113,211745,317,187196
272,114,211859,315,187511
271,120,211979,345,187856
270,106,212085,304,188160
269,108,212193,301,188461
268,101,212294,312,188773
267,115,212409,295,189068
266,90,212499,316,189384
265,81,212580,291,189675
264,111,212691,286,189961
263,98,212789,274,190235
262,85,212874,272,190507
261,82,212956,253,190760
260,59,213015,261,191021
259,81,213096,260,191281
258,85,213181,247,191528
257,65,213246,252,191780
256,80,213326,226,192006
255,87,213413,216,192222
254,77,213490,244,192466
253,65,213555,221,192687
252,70,213625,206,192893
251,74,213699,232,193125
250,65,213764,206,193331
249,65,213829,190,193521
248,65,213894,207,193728
247,57,213951,197,193925
246,55,214006,195,194120
245,66,214072,192,194312
244,66,214138,196,194508
243,68,214206,173,194681
242,46,214252,153,194834
241,48,214300,185,195019
240,60,214360,158,195177
239,54,214414,148,195325
238,39,214453,187,195512
237,60,214513,144,195656
236,53,214566,151,195807
235,51,214617,176,195983
234,46,214663,150,196133
233,53,214716,155,196288
232,43,214759,129,196417
231,36,214795,144,196561
230,35,214830,140,196701
229,49,214879,131,196832
228,44,214923,150,196982
227,29,214952,140,197122
226,36,214988,136,197258
225,40,215028,122,197380
224,41,215069,131,197511
223,33,215102,116,197627
222,25,215127,131,197758
221,29,215156,139,197897
220,27,215183,112,198009
219,30,215213,106,198115
218,35,215248,113,198228
217,28,215276,140,198368
216,37,215313,101,198469
215,33,215346,115,198584
214,32,215378,116,198700
213,29,215407,101,198801
212,23,215430,94,198895
211,25,215455,89,198984
210,33,215488,99,199083
209,22,215510,90,199173
208,24,215534,104,199277
207,28,215562,92,199369
206,14,215576,95,199464
205,25,215601,105,199569
204,16,215617,75,199644
203,22,215639,102,199746
202,16,215655,88,199834
201,16,215671,77,199911
200,24,215695,82,199993
199,13,215708,80,200073
198,14,215722,67,200140
197,15,215737,76,200216
196,16,215753,69,200285
195,13,215766,71,200356
194,19,215785,51,200407
193,16,215801,55,200462
192,13,215814,66,200528
191,13,215827,60,200588
190,17,215844,43,200631
189,9,215853,59,200690
188,14,215867,46,200736
187,10,215877,53,200789
186,9,215886,44,200833
185,11,215897,58,200891
184,10,215907,43,200934
183,7,215914,53,200987
182,10,215924,52,201039
181,10,215934,46,201085
180,8,215942,44,201129
179,9,215951,36,201165
178,8,215959,46,201211
177,8,215967,38,201249
176,12,215979,37,201286
175,6,215985,36,201322
174,11,215996,31,201353
173,9,216005,31,201384
172,10,216015,38,201422
171,3,216018,37,201459
170,5,216023,45,201504
169,8,216031,29,201533
168,3,216034,26,201559
167,5,216039,29,201588
166,11,216050,33,201621
165,3,216053,24,201645
164,7,216060,38,201683
163,3,216063,27,201710
162,1,216064,32,201742
161,4,216068,21,201763
160,6,216074,17,201780
159,5,216079,22,201802
158,5,216084,23,201825
157,7,216091,21,201846
156,7,216098,14,201860
155,5,216103,22,201882
154,3,216106,21,201903
153,8,216114,21,201924
152,4,216118,21,201945
151,4,216122,10,201955
150,2,216124,15,201970
149,2,216126,10,201980
148,4,216130,21,202001
147,1,216131,18,202019
146,5,216136,11,202030
145,2,216138,11,202041
144,5,216143,3,202044
143,3,216146,15,202059
142,1,216147,6,202065
141,4,216151,15,202080
140,2,216153,16,202096
